transceiver,mode,Margin_dB,Baudrate_Gbaud,Roll_off,Tx_OSNR_dB,Min_OSNR_dB
CableLabs P2PCO,Maximize capacity,,,,,
CableLabs P2PCO,Maximize capacity incl. penalties,,,,,
CableLabs P2PCO,"PHYv1.0, 100 Gbit/s, DP-QPSK",,27.95,,35,14.5
CableLabs P2PCO,"PHYv2.0, 200 Gbit/s, DP-QPSK",,63.13946792,,35,15.5
Cisco CFP2-DCO,Maximize capacity,,,,,
Cisco CFP2-DCO,"100 Gbit/s, DP-QPSK",,31.379,,37,12.3
Cisco CFP2-DCO,"200 Gbit/s, DP-8QAM",,41.84,,32.3,20
Cisco CFP2-DCO,"200 Gbit/s, DP-16QAM",,31.379,,34.3,21.5
Cisco NCS 1004,Maximize capacity,,,,,
Cisco NCS 1004,Maximize capacity incl. penalties,,,,,
Cisco NCS 1004,"100 Gbit/s, DP-BPSK",,69.4351,,,11
Cisco NCS 1004,"200 Gbit/s, DP-QPSK",,69.4351,,,14.1
Cisco NCS 1004,"300 Gbit/s, DP-8QAM",,69.4351,,,18.5
Cisco NCS 1004,"400 Gbit/s, DP-16QAM",,69.4351,,,22
Cisco NCS 1004,"500 Gbit/s, DP-32QAM",,69.4351,,,27.3
Cisco NCS 1004,"600 Gbit/s, DP-32QAM-64QAM hybrid",,71.8485,,,32.5
Cisco NCS 2000 400 Gbps XPonder,Maximize capacity,,,,,
Cisco NCS 2000 400 Gbps XPonder,"100 Gbit/s, DP-QPSK",,34.16,,40,10.5
Cisco NCS 2000 400 Gbps XPonder,"150 Gbit/s, DP-8QAM",,34.16,,40,15.5
Cisco NCS 2000 400 Gbps XPonder,"200 Gbit/s, DP-16QAM",,34.16,,40,18.5
Cisco QSFD-DD QDD-400G-ZRP-S,Maximize capacity,,,,,
Cisco QSFD-DD QDD-400G-ZRP-S,"100 Gbit/s, DP-QPSK",,34.16,,40,10.5
Cisco QSFD-DD QDD-400G-ZRP-S,"150 Gbit/s, DP-8QAM",,34.16,,40,15.5
Cisco QSFD-DD QDD-400G-ZRP-S,"200 Gbit/s, DP-16QAM",,34.16,,40,18.5
IEEE,Maximize capacity,,,,,
IEEE,100GBASE-ZR,,27.9525,,35,19.5
Juniper CFP2-DCO-T-WDM-HG,Maximize capacity,,,,,
Juniper CFP2-DCO-T-WDM-HG,Maximize capacity incl. penalties,,,,,
Juniper CFP2-DCO-T-WDM-HG,OpenROADM 5.0 100G,,31.57,0.15,38,11.8
Juniper CFP2-DCO-T-WDM-HG,OpenROADM 5.0 200G DP-16QAM,,31.57,0.15,38,20.5
Juniper CFP2-DCO-T-WDM-HG,OpenROADM 5.0 200G DP-QPSK,,63.1,0.15,38,14.8
Juniper CFP2-DCO-T-WDM-HG,OpenROADM 5.0 300G,,63.1,0.15,38,20.5
Juniper CFP2-DCO-T-WDM-HG,OpenROADM 5.0 400G,,63.1,0.15,38,23.5
Juniper JCO800-QDD-ZR-M-HP,Maximize capacity,,,,,
Juniper JCO800-QDD-ZR-M-HP,"100 Gbit/s, DP-QPSK",,34.16,,40,10.5
Juniper JCO800-QDD-ZR-M-HP,"150 Gbit/s, DP-8QAM",,34.16,,40,15.5
Juniper JCO800-QDD-ZR-M-HP,"200 Gbit/s, DP-16QAM",,34.16,,40,18.5
Juniper OpenZR+ JCO400-QDD-ZR-M,Maximize capacity,,,,,
